step,sigma_i,baseline_v_fwd,baseline_v_rev,baseline_gap,baseline_gap_std
0,1.0,564.677906036377,564.8107032775879,0.1327972412109375,3.3437713155905415
1,0.9583333134651184,566.546558380127,568.5394859313965,1.9929275512695312,4.932138098604173
2,0.9166666865348816,572.1731567382812,571.1578369140625,-1.01531982421875,10.2144291644317
3,0.875,575.9966659545898,572.3479156494141,-3.6487503051757812,9.770007575469632
4,0.8333333134651184,578.0435104370117,572.1845321655273,-5.858978271484375,10.380066569755808
5,0.7916666865348816,578.347297668457,571.8829040527344,-6.464393615722656,9.935954513708902
6,0.75,579.1054725646973,571.4011306762695,-7.704341888427734,10.407906793543473
7,0.7083333134651184,580.957405090332,571.9516944885254,-9.00571060180664,11.011232201927836
8,0.6666666269302368,580.8050270080566,570.6386604309082,-10.166366577148438,10.857731796598305
9,0.625,581.7059898376465,570.5368499755859,-11.169139862060547,10.66490719252841
10,0.5833333134651184,582.4929542541504,570.3674850463867,-12.125469207763672,10.056613852736962
11,0.5416666269302368,581.1352577209473,567.9468765258789,-13.18838119506836,10.892702941540403
12,0.5,582.1078758239746,567.9833450317383,-14.124530792236328,10.7781592014417
13,0.4583333432674408,580.8681488037109,565.8921432495117,-14.976005554199219,10.842421122316141
14,0.4166666865348816,581.2115936279297,564.6961479187012,-16.515445709228516,11.270880290752055
15,0.375,580.816967010498,562.8789672851562,-17.937999725341797,11.388012148457515
16,0.3333333432674408,579.2551536560059,559.6488952636719,-19.606258392333984,11.456994461345914
17,0.2916666865348816,578.5457649230957,556.3984107971191,-22.147354125976562,12.049040761858176
18,0.25,575.3956871032715,550.8849105834961,-24.51077651977539,12.207884793595278
19,0.2083333432674408,573.0331916809082,544.6382942199707,-28.3948974609375,13.43867302145561
20,0.1666666716337204,566.8658065795898,534.0137252807617,-32.852081298828125,14.287770844803637
21,0.125,558.4127960205078,518.4640598297119,-39.9487361907959,16.855708289617233
22,0.0833333358168602,542.403564453125,491.70105934143066,-50.702505111694336,21.37087328018193
23,0.0416666679084301,501.90710067749023,436.0361080169678,-65.87099266052246,30.02984500523292
