step,sigma_i,baseline_v_fwd,baseline_v_rev,baseline_gap,baseline_gap_std
0,1.0,564.6994781494141,564.8638610839844,0.1643829345703125,3.3813150958962073
1,0.9583333134651184,566.5659599304199,568.608772277832,2.0428123474121094,4.956883498873099
2,0.9166666865348816,572.1486396789551,571.2097206115723,-0.9389190673828125,10.27176935941802
3,0.875,575.9685134887695,572.4122772216797,-3.5562362670898438,9.825328325490208
4,0.8333333134651184,578.0380706787109,572.2339210510254,-5.804149627685547,10.431431700430304
5,0.7916666865348816,578.3458442687988,571.9107093811035,-6.4351348876953125,9.986631328036013
6,0.75,579.085521697998,571.4412078857422,-7.644313812255859,10.444930059967708
7,0.7083333134651184,580.9526710510254,572.0041160583496,-8.948554992675781,11.05396903461281
8,0.6666666269302368,580.8084907531738,570.6626205444336,-10.145870208740234,10.858181687534788
9,0.625,581.7141380310059,570.5849151611328,-11.129222869873047,10.69801048738303
10,0.5833333134651184,582.4865379333496,570.416145324707,-12.070392608642578,10.076252030455652
11,0.5416666269302368,581.1283874511719,568.0019912719727,-13.126396179199219,10.9025989756151
12,0.5,582.0994453430176,568.0225715637207,-14.076873779296875,10.784208357625275
13,0.4583333432674408,580.8642044067383,565.9148406982422,-14.949363708496094,10.86344620748202
14,0.4166666865348816,581.2187805175781,564.7168350219727,-16.50194549560547,11.285631165419485
15,0.375,580.8037605285645,562.8644218444824,-17.93933868408203,11.408407406195057
16,0.3333333432674408,579.2258415222168,559.6082229614258,-19.617618560791016,11.464534432904355
17,0.2916666865348816,578.5159072875977,556.3387870788574,-22.177120208740234,12.05970928012348
18,0.25,575.3525314331055,550.7893142700195,-24.563217163085938,12.244744323087712
19,0.2083333432674408,572.9926719665527,544.529541015625,-28.463130950927734,13.472981790209932
20,0.1666666716337204,566.818775177002,533.8565807342529,-32.96219444274902,14.353330647339135
21,0.125,558.3801803588867,518.2562961578369,-40.123884201049805,16.941272372525525
22,0.0833333358168602,542.2963676452637,491.39860916137695,-50.89775848388672,21.460648613714742
23,0.0416666679084301,501.73788261413574,435.6701602935791,-66.06772232055664,30.057334519263637
