step,sigma_i,baseline_v_fwd_LL,baseline_v_rev_LL,baseline_gap_LL,baseline_gap_LL_std,baseline_v_fwd_LH,baseline_v_rev_LH,baseline_gap_LH,baseline_gap_LH_std,baseline_v_fwd_HL,baseline_v_rev_HL,baseline_gap_HL,baseline_gap_HL_std,baseline_v_fwd_HH,baseline_v_rev_HH,baseline_gap_HH,baseline_gap_HH_std
0,1.0,351.9195327758789,352.3432903289795,0.42375755310058594,4.675966350486613,254.75086212158203,254.27826976776123,-0.4725923538208008,1.0866200384614753,255.0234432220459,255.03127574920654,0.007832527160644531,0.963332258862778,254.48196983337402,254.71263790130615,0.2306680679321289,1.2581114497071266
1,0.9583333134651184,355.8673572540283,358.72555923461914,2.8582019805908203,7.4815431444234575,254.31050777435303,254.05371189117432,-0.25679588317871094,1.0614274784838424,254.1865291595459,254.72730255126953,0.5407733917236328,1.2277715278348733,254.2090940475464,254.60098838806152,0.3918943405151367,0.968380124721875
2,0.9166666865348816,366.3924503326416,364.8304214477539,-1.5620288848876953,15.092393386083398,253.38047981262207,253.1004457473755,-0.28003406524658203,0.9807265336982293,253.1453971862793,253.61560440063477,0.47020721435546875,0.7312348679824943,253.58544063568115,253.71023845672607,0.12479782104492188,1.1003699413138763
3,0.875,371.0843276977539,366.2158031463623,-4.868524551391602,14.643338014837608,253.70210075378418,253.20846843719482,-0.49363231658935547,0.932211530342124,253.72699642181396,253.83742237091064,0.11042594909667969,1.1776700305209526,254.55780124664307,254.058856010437,-0.4989452362060547,1.0261158718557113
4,0.8333333134651184,374.7793674468994,366.20888328552246,-8.570484161376953,15.842194259454786,253.71334743499756,253.09181594848633,-0.6215314865112305,1.0462471581802721,253.7722635269165,253.6455478668213,-0.12671566009521484,1.1251056884282082,253.76865100860596,253.9611577987671,0.1925067901611328,0.8107763759365323
5,0.7916666865348816,377.4323215484619,368.037504196167,-9.394817352294922,14.714791489540717,252.2925271987915,252.01780033111572,-0.27472686767578125,1.2412104225950165,252.75521087646484,252.48820877075195,-0.2670021057128906,1.0695817245302783,252.93062210083008,252.79191207885742,-0.13871002197265625,0.9226005071582531
6,0.75,378.760404586792,367.907262802124,-10.853141784667969,15.11542850908314,252.5619602203369,251.69471836090088,-0.8672418594360352,1.4300337509296897,252.90824127197266,252.16733169555664,-0.7409095764160156,1.2939484345819037,252.2982406616211,252.55762386322021,0.2593832015991211,1.0552656237520825
7,0.7083333134651184,380.0857677459717,367.88816833496094,-12.197599411010742,16.049438729546083,253.21069717407227,252.15844535827637,-1.0522518157958984,1.131111423767107,253.5906162261963,252.594388961792,-0.9962272644042969,1.1364296877571605,253.21284580230713,252.9780969619751,-0.23474884033203125,1.0105184186703107
8,0.6666666269302368,381.48409843444824,368.6666851043701,-12.817413330078125,15.45799057363269,252.32878303527832,250.720383644104,-1.6083993911743164,1.2710500118023016,253.01887607574463,251.19516468048096,-1.8237113952636719,1.107966059721097,252.28834056854248,251.6323537826538,-0.6559867858886719,1.4641756641310262
9,0.625,382.3346347808838,368.42863845825195,-13.905996322631836,15.43000183921809,252.82661247253418,250.77239513397217,-2.0542173385620117,1.3077120520759373,253.10719299316406,251.2300567626953,-1.87713623046875,1.576644959087456,252.42501831054688,251.72070217132568,-0.7043161392211914,1.2528446861919442
10,0.5833333134651184,382.74819564819336,368.4779682159424,-14.270227432250977,14.690272999462506,253.02766799926758,250.6301565170288,-2.3975114822387695,0.9918914481909781,253.7058506011963,251.06747817993164,-2.6383724212646484,1.160091421776641,252.81442642211914,251.57305526733398,-1.2413711547851562,1.2185377081531508
11,0.5416666269302368,383.23079681396484,368.22653007507324,-15.004266738891602,15.036021688201505,251.83800315856934,248.91180515289307,-2.9261980056762695,1.631467602126871,252.77353858947754,249.4415159225464,-3.3320226669311523,1.2766144562076778,251.06021690368652,249.79877185821533,-1.2614450454711914,1.543568080527411
12,0.5,383.7221431732178,368.15470695495605,-15.567436218261719,15.226000702397092,252.14802360534668,248.84856986999512,-3.2994537353515625,1.3572967304695303,253.2488021850586,249.41483116149902,-3.8339710235595703,1.395683784670104,251.7670030593872,250.04011631011963,-1.7268867492675781,1.4143464703047026
13,0.4583333432674408,383.6123390197754,367.64480209350586,-15.967536926269531,15.134990027403203,251.42486572265625,247.5012912750244,-3.923574447631836,1.8946188197107423,252.06219959259033,248.0396604537964,-4.022539138793945,1.3381783089084485,251.01570415496826,248.71434593200684,-2.301358222961426,1.5782981515028855
14,0.4166666865348816,383.4140567779541,366.74599266052246,-16.66806411743164,15.375246821954056,251.78200721740723,246.90810298919678,-4.873904228210449,1.5937254399507972,252.51549243927002,247.53083515167236,-4.984657287597656,1.7243089243577787,251.31587409973145,248.4103126525879,-2.9055614471435547,1.7828685678585865
15,0.375,383.6394386291504,366.2390022277832,-17.400436401367188,15.653383957075404,251.16083431243896,245.70492935180664,-5.455904960632324,1.797358531713904,252.62039375305176,246.35210132598877,-6.268292427062988,1.7696602538458646,250.5263786315918,247.31239986419678,-3.2139787673950195,1.8505997371011143
16,0.3333333432674408,383.13451957702637,365.0519618988037,-18.082557678222656,15.570991018968515,250.08265113830566,243.70160961151123,-6.381041526794434,1.6891328338479903,251.47985649108887,244.40673160552979,-7.073124885559082,1.617772178318456,249.86089515686035,245.58566665649414,-4.275228500366211,1.760142011315703
17,0.2916666865348816,382.58656120300293,363.3440189361572,-19.242542266845703,15.710564652368886,249.87159729003906,241.87489414215088,-7.996703147888184,2.0863903259039467,251.06933879852295,242.74477863311768,-8.324560165405273,2.1491391367653336,249.70563220977783,244.1366662979126,-5.568965911865234,1.9504978365749845
18,0.25,381.3499011993408,361.04651260375977,-20.303388595581055,15.72955635657055,247.81742095947266,238.59836769104004,-9.219053268432617,2.1257822038750502,249.2576780319214,239.54606914520264,-9.71160888671875,1.9919598727080035,248.13697147369385,241.32859134674072,-6.808380126953125,2.2430845238487427
19,0.2083333432674408,379.8309860229492,358.0415554046631,-21.789430618286133,16.27608460998839,246.65234756469727,234.99769115447998,-11.654656410217285,3.0290785041342696,248.0781946182251,236.13068294525146,-11.947511672973633,2.4981202512005507,247.32871532440186,238.48062324523926,-8.848092079162598,3.0221336716449114
20,0.1666666716337204,377.52480125427246,354.11302947998047,-23.411771774291992,16.66953407434404,242.84938526153564,228.58584594726562,-14.26353931427002,3.5882104654698117,244.76780700683594,229.84875774383545,-14.919049263000488,3.1443456422214426,243.66878604888916,232.5157995223999,-11.152986526489258,3.280590381504662
21,0.125,373.8263359069824,347.6826229095459,-26.143712997436523,17.872977232549914,237.7886724472046,219.34747409820557,-18.441198348999023,4.657194533779237,240.10284328460693,220.99346446990967,-19.109378814697266,4.838044463470227,239.5019073486328,224.2986602783203,-15.2032470703125,4.663322981827939
