step,sigma_i,baseline_v_fwd_LL,baseline_v_rev_LL,baseline_gap_LL,baseline_gap_LL_std,baseline_v_fwd_LH,baseline_v_rev_LH,baseline_gap_LH,baseline_gap_LH_std,baseline_v_fwd_HL,baseline_v_rev_HL,baseline_gap_HL,baseline_gap_HL_std,baseline_v_fwd_HH,baseline_v_rev_HH,baseline_gap_HH,baseline_gap_HH_std
0,1.0,351.801176071167,352.2165985107422,0.4154224395751953,4.8097051014138525,254.59945583343506,254.13110446929932,-0.4683513641357422,1.085055091194892,254.87514305114746,254.88079643249512,0.00565338134765625,0.9664938352420909,254.3345136642456,254.56474494934082,0.23023128509521484,1.2594760873003574
1,0.9583333134651184,355.6053771972656,358.375186920166,2.7698097229003906,7.717972661706884,254.18274879455566,253.92314910888672,-0.2595996856689453,1.0686626616622956,254.05499172210693,254.59384059906006,0.538848876953125,1.2263451121230822,254.08093643188477,254.47371673583984,0.3927803039550781,0.9679262665303496
2,0.9166666865348816,366.2203674316406,364.25304794311523,-1.9673194885253906,15.229020827557123,253.25962162017822,252.97991275787354,-0.2797088623046875,0.9827721533705722,253.02511405944824,253.49509239196777,0.46997833251953125,0.7309603606615198,253.46588897705078,253.5863618850708,0.12047290802001953,1.0979488839661813
3,0.875,370.94761657714844,365.452054977417,-5.495561599731445,14.716776405030119,253.57793140411377,253.1041965484619,-0.47373485565185547,0.9279219188689226,253.6014003753662,253.73447799682617,0.13307762145996094,1.1785033432645435,254.4319486618042,253.9517478942871,-0.48020076751708984,1.013333152753958
4,0.8333333134651184,374.5871868133545,365.36401176452637,-9.223175048828125,15.906407693698824,253.58668422698975,252.9981231689453,-0.5885610580444336,1.0324773335597537,253.64587593078613,253.55454635620117,-0.09132957458496094,1.1356073028005251,253.63834476470947,253.8658390045166,0.2274942398071289,0.805816038664007
5,0.7916666865348816,377.23072814941406,367.1912250518799,-10.03950309753418,14.753902221158526,252.16879653930664,251.93813514709473,-0.23066139221191406,1.2286322866439565,252.63068294525146,252.4102725982666,-0.22041034698486328,1.0714656433907854,252.80098247528076,252.7104949951172,-0.09048748016357422,0.9121684106799564
6,0.75,378.5947895050049,366.9825325012207,-11.61225700378418,15.122177519174103,252.4469518661499,251.608060836792,-0.8388910293579102,1.423354170170253,252.79056453704834,252.08871841430664,-0.7018461227416992,1.2742071041719558,252.1731653213501,252.4761791229248,0.30301380157470703,1.0547170610435213
7,0.7083333134651184,379.8797550201416,366.98855781555176,-12.891197204589844,16.000204665319636,253.08676052093506,252.09309577941895,-0.9936647415161133,1.1076187567545828,253.4705286026001,252.53324222564697,-0.937286376953125,1.1174580894205703,253.0815086364746,252.9211196899414,-0.16038894653320312,1.0043229790119226
8,0.6666666269302368,381.2952632904053,367.84511947631836,-13.450143814086914,15.45227653748271,252.20606231689453,250.67095756530762,-1.535104751586914,1.273496124639579,252.89780521392822,251.14658069610596,-1.7512245178222656,1.0796222609180754,252.1587371826172,251.58929920196533,-0.5694379806518555,1.444401520935274
9,0.625,382.16483879089355,367.59002113342285,-14.574817657470703,15.354575827115152,252.70517444610596,250.72156238555908,-1.983612060546875,1.2828973213039818,252.98674392700195,251.17335414886475,-1.813389778137207,1.547635451974457,252.29575061798096,251.6855001449585,-0.6102504730224609,1.253201235823115
10,0.5833333134651184,382.57176208496094,367.6220283508301,-14.94973373413086,14.656073776020596,252.89683723449707,250.5717649459839,-2.3250722885131836,1.0442632507456022,253.57858085632324,251.00932502746582,-2.569255828857422,1.1364662182712748,252.6812973022461,251.55067443847656,-1.1306228637695312,1.2224243121478995
11,0.5416666269302368,383.0783805847168,367.37682914733887,-15.70155143737793,15.021838849125855,251.71489810943604,248.8550729751587,-2.8598251342773438,1.6459522380626155,252.65490055084229,249.38251876831055,-3.2723817825317383,1.2804600222594404,250.93606567382812,249.7816390991211,-1.1544265747070312,1.5562976765777226
12,0.5,383.58139991760254,367.28921127319336,-16.29218864440918,15.21427411433081,252.03572463989258,248.81607818603516,-3.219646453857422,1.3851148798592563,253.13607597351074,249.35764503479004,-3.778430938720703,1.431198301513057,251.65475463867188,250.03606414794922,-1.6186904907226562,1.4101735797066388
13,0.4583333432674408,383.49335289001465,366.7771301269531,-16.716222763061523,15.080943006096371,251.30463790893555,247.48649215698242,-3.818145751953125,1.940078885245202,251.9443359375,247.99658679962158,-3.947749137878418,1.3309799235711532,250.89391899108887,248.7356309890747,-2.15828800201416,1.57472523005978
14,0.4166666865348816,383.2488193511963,365.8704261779785,-17.378393173217773,15.268274607547767,251.65835189819336,246.88756847381592,-4.770783424377441,1.6206719788817827,252.39226531982422,247.48213481903076,-4.910130500793457,1.7585005686390516,251.1919345855713,248.4226942062378,-2.769240379333496,1.7863522172336295
15,0.375,383.54157638549805,365.3876781463623,-18.153898239135742,15.604663965042414,251.04138851165771,245.7054843902588,-5.335904121398926,1.8395711568973128,252.50388050079346,246.3152618408203,-6.1886186599731445,1.8087434209803752,250.41132926940918,247.35328483581543,-3.05804443359375,1.8573309495789176
16,0.3333333432674408,383.0647029876709,364.1864814758301,-18.87822151184082,15.517864813348346,249.98737049102783,243.70313453674316,-6.284235954284668,1.7343136743004495,251.3882541656494,244.37733364105225,-7.010920524597168,1.6392286571187402,249.76814937591553,245.63672065734863,-4.1314287185668945,1.7642303229479752
17,0.2916666865348816,382.53893852233887,362.444730758667,-20.094207763671875,15.692179432663565,249.77775287628174,241.8676052093506,-7.910147666931152,2.1600918555042177,250.9791669845581,242.70400524139404,-8.275161743164062,2.1896199635888345,249.61715412139893,244.18315982818604,-5.433994293212891,1.9774207926671037
18,0.25,381.34000968933105,360.1372756958008,-21.202733993530273,15.757782935810694,247.72769737243652,238.61484336853027,-9.11285400390625,2.2217318458840376,249.17294692993164,239.5312147140503,-9.641732215881348,2.074081361401883,248.05224132537842,241.3985824584961,-6.653658866882324,2.2929519028884653
19,0.2083333432674408,379.8450622558594,357.1001834869385,-22.7448787689209,16.33393378832572,246.5640983581543,235.008469581604,-11.555628776550293,3.163684639757299,248.0050868988037,236.10833168029785,-11.89675521850586,2.5843417921695298,247.25519561767578,238.55973625183105,-8.695459365844727,3.0455381372374233
20,0.1666666716337204,377.61127853393555,353.13171005249023,-24.479568481445312,16.811549174371205,242.7841453552246,228.59960556030273,-14.184539794921875,3.7548591319068825,244.71918487548828,229.84033393859863,-14.878850936889648,3.283244547067588,243.62182235717773,232.61936283111572,-11.002459526062012,3.3549815754314465
21,0.125,373.9222049713135,346.6251983642578,-27.297006607055664,17.966199699875194,237.72659873962402,219.3251552581787,-18.401443481445312,4.8546491200961865,240.07267665863037,220.9530611038208,-19.11961555480957,5.041183071607135,239.47045612335205,224.40731143951416,-15.06314468383789,4.794893983715939
22,0.0833333358168602,367.3191623687744,336.92646980285645,-30.39269256591797,19.636425770059347,228.41788959503174,202.85607242584229,-25.561817169189453,8.121318648061049,231.0960750579834,204.8189296722412,-26.277145385742188,7.49119865260822,230.67503547668457,208.7060842514038,-21.96895122528076,7.126732477418335
23,0.0416666679084301,352.81288146972656,319.4867181777954,-33.32616329193115,21.89339486384524,203.85263919830322,166.92545890808105,-36.92718029022217,13.938897941345624,206.8653383255005,169.02294921875,-37.84238910675049,13.374909544572601,206.44081497192383,172.363299369812,-34.077515602111816,12.880753611778479
