# step1_0921z: cold ranks 1-1900 of reports/piece_coverage_ranked_2026_09_21.tsv, re-cut against rows_step1_0921_s30k ext_ids; units of 6+ glyphs dropped (no cell or bubble holds them at a readable size)
# piece	count	class	glyphs	ext_id	src_rank
って	1760	multi	2	940	1
じゃ	1290	multi	2	25742	2
んだ	1240	multi	2	25679	3
ない	1188	multi	2	25504	4
いい	1091	multi	2	25808	5
から	1062	multi	2	548	6
さん	1001	multi	2	1304	7
った	915	multi	2	25502	8
でも	757	multi	2	859	9
ちゃん	752	multi	3	25717	10
して	708	multi	2	327	11
この	691	multi	2	489	12
どう	672	multi	2	25583	13
そう	671	multi	2	25551	14
した	633	multi	2	567	15
なんだ	537	multi	3	26914	16
なん	519	multi	2	25544	17
もう	518	multi	2	26199	18
じゃない	504	multi	4	25952	19
です	502	multi	2	308	20
そんな	466	multi	3	26205	21
それ	464	multi	2	951	22
あの	454	multi	2	26884	23
その	436	multi	2	606	24
のか	431	multi	2	26169	25
ちょっと	415	multi	4	26264	26
これ	392	multi	2	1096	27
だから	389	multi	3	26245	28
いた	386	multi	2	25520	29
こと	383	multi	2	25503	30
する	381	multi	2	545	31
いつ	381	multi	2	25957	32
いや	375	multi	2	27133	33
いて	366	multi	2	25512	34
だった	336	multi	3	25671	35
けど	333	multi	2	25825	36
っと	331	multi	2	25586	37
また	327	multi	2	528	38
かった	321	multi	3	25580	39
ちゃ	318	multi	2	25592	40
ってる	315	multi	3	27111	41
んな	312	multi	2	25626	42
さい	306	multi	2	727	43
には	294	multi	2	25609	44
かな	294	multi	2	26198	45
しい	292	multi	2	25510	46
ここ	290	multi	2	25713	47
こんな	286	multi	3	26337	48
だって	284	multi	3	27164	49
なの	274	multi	2	25655	50
なんて	271	multi	3	26274	51
まだ	270	multi	2	25714	52
あれ	265	multi	2	27096	53
なら	257	multi	2	25612	54
んで	247	multi	2	25618	55
っち	245	multi	2	26941	56
どこ	244	multi	2	26379	57
あなた	242	multi	3	25940	58
よう	241	multi	2	25505	59
なかった	238	multi	4	26168	60
もの	231	multi	2	25521	61
たい	229	multi	2	25574	62
やって	229	multi	3	26455	63
だけ	227	multi	2	25573	64
なんか	226	multi	3	26929	65
んです	224	multi	3	25561	66
いる	223	multi	2	25506	67
ですか	221	multi	3	26700	68
まで	220	multi	2	25572	69
しか	220	multi	2	763	70
くん	219	multi	2	27779	71
では	216	multi	2	943	72
さま	214	multi	2	26050	73
こう	211	multi	2	25865	74
にも	208	multi	2	26165	75
っちゃ	207	multi	3	27083	76
丈夫	206	multi	2	6683	77
めて	201	multi	2	25894	78
のは	200	multi	2	25610	79
好き	199	multi	2	25914	80
よく	193	multi	2	26208	81
ます	192	multi	2	238	82
のに	192	multi	2	26252	83
わたし	191	multi	3	27659	84
それは	187	multi	3	26401	85
ある	185	multi	2	25511	86
けて	184	multi	2	25663	87
くれ	182	multi	2	25605	88
まあ	180	multi	2	27437	89
みたい	178	multi	3	25749	90
なんで	175	multi	3	28170	91
れて	174	multi	2	26323	92
しく	172	multi	2	25848	93
ただ	172	multi	2	1174	94
これは	170	multi	3	26312	95
おい	165	multi	2	28564	96
言って	161	multi	3	26992	97
よね	161	multi	2	25747	98
とか	159	multi	2	26179	99
ント	155	multi	2	510	100
早く	153	multi	2	26869	101
ろう	150	multi	2	25630	102
きた	149	multi	2	25660	103
先生	149	multi	2	2723	104
にな	148	multi	2	25509	105
ください	148	multi	4	852	106
ません	147	multi	3	25522	107
みんな	146	multi	3	26755	108
ですよ	146	multi	3	27230	109
そうだ	144	multi	3	27679	110
今日	143	multi	2	4267	111
アイ	143	multi	2	25966	112
とは	141	multi	2	25811	113
しない	136	multi	3	26276	114
いま	135	multi	2	26850	115
いった	135	multi	3	26610	116
えて	135	multi	2	25884	117
行く	133	multi	2	27061	118
私は	132	multi	2	26224	119
がある	131	multi	3	25807	120
ねぇ	130	multi	2	28670	121
悪い	130	multi	2	26799	122
してる	129	multi	3	27403	123
何か	128	multi	2	26527	124
かい	128	multi	2	27126	125
のお	128	multi	2	26247	126
来た	127	multi	2	27119	127
てる	127	multi	2	26998	128
ですね	127	multi	3	26202	129
あげ	127	multi	2	26815	130
える	127	multi	2	25624	131
します	126	multi	3	968	132
よかった	124	multi	4	27765	133
だろう	123	multi	3	26235	134
そこ	122	multi	2	25743	135
のだ	122	multi	2	26468	136
だけど	122	multi	3	26063	137
しな	121	multi	2	25869	138
ったら	121	multi	3	27359	139
ました	118	multi	3	990	140
やっぱり	118	multi	4	27188	141
たら	118	multi	2	26256	142
つか	118	multi	2	25969	143
なる	118	multi	2	25595	144
れた	115	multi	2	26277	145
より	115	multi	2	25673	146
すごい	114	multi	3	27755	147
れる	114	multi	2	26207	148
わか	113	multi	2	28636	149
いか	113	multi	2	26644	150
わけ	112	multi	2	25658	151
ける	111	multi	2	25600	152
もっと	111	multi	3	26447	153
いない	111	multi	3	25653	154
になる	111	multi	3	25675	155
おか	111	multi	2	28380	156
いく	110	multi	2	25567	157
っき	109	multi	2	27511	158
しゃ	109	multi	2	26123	159
たち	108	multi	2	25694	160
せて	108	multi	2	26696	161
ール	107	multi	2	704	162
くる	107	multi	2	25662	163
見て	106	multi	2	26658	164
とも	106	multi	2	25860	165
のこと	105	multi	3	26678	166
言う	104	multi	2	26708	167
なく	104	multi	2	25523	168
ダメ	104	multi	2	27835	169
あった	103	multi	3	26439	170
んじゃない	102	multi	5	28554	171
それが	102	multi	3	26741	172
まい	101	multi	2	27112	173
学校	101	multi	2	2411	174
なくて	100	multi	3	26453	175
しま	100	multi	2	25508	176
いで	98	multi	2	26890	177
いつも	98	multi	3	26482	178
そして	97	multi	3	1003	179
かない	96	multi	3	26904	180
れば	96	multi	2	25529	181
の人	96	multi	2	26588	182
してくれ	95	multi	4	26051	183
こん	95	multi	2	800	184
わり	94	multi	2	25787	185
時間	94	multi	2	1052	186
本当に	94	multi	3	26336	187
ちょ	93	multi	2	25868	188
らしい	93	multi	3	25976	189
きて	93	multi	2	26117	190
私の	92	multi	2	26354	191
こそ	92	multi	2	26660	192
らない	92	multi	3	25899	193
まま	91	multi	2	25979	194
にして	91	multi	3	26397	195
しよう	91	multi	3	26036	196
したら	90	multi	3	26430	197
今日は	90	multi	3	26926	198
ット	89	multi	2	764	199
んだけど	87	multi	4	27330	200
考え	87	multi	2	25560	201
あと	87	multi	2	26441	202
くな	87	multi	2	26058	203
ずっと	86	multi	3	27086	204
食べ	86	multi	2	25646	205
あり	85	multi	2	592	206
信じ	85	multi	2	28097	207
われ	84	multi	2	25599	208
でしょう	84	multi	4	25613	209
ちは	84	multi	2	1115	210
聞いて	84	multi	3	27051	211
になって	83	multi	4	26200	212
気が	83	multi	2	26298	213
お願い	82	multi	3	26715	214
ほど	82	multi	2	26184	215
出て	81	multi	2	26040	216
えた	81	multi	2	26712	217
という	80	multi	3	25548	218
だが	80	multi	2	26463	219
ことは	80	multi	3	26241	220
しっ	80	multi	2	26037	221
と思って	79	multi	4	26576	222
少し	79	multi	2	26225	223
がない	79	multi	3	26306	224
かも	79	multi	2	25648	225
人の	79	multi	2	26222	226
そういう	79	multi	4	26763	227
違う	78	multi	2	26548	228
っている	78	multi	4	25575	229
ート	77	multi	2	1084	230
っこ	77	multi	2	27833	231
ック	77	multi	2	446	232
これから	77	multi	4	26750	233
ところ	77	multi	3	25821	234
きっと	77	multi	3	27895	235
行って	77	multi	3	26964	236
人は	77	multi	2	26262	237
わない	77	multi	3	26930	238
もし	76	multi	2	26462	239
本当	76	multi	2	26335	240
いう	76	multi	2	1266	241
シャ	76	multi	2	25897	242
さんの	76	multi	3	26344	243
にお	76	multi	2	25753	244
なぁ	76	multi	2	26932	245
なぜ	76	multi	2	26785	246
まって	75	multi	3	27623	247
はず	75	multi	2	26032	248
ありが	75	multi	3	1100	249
ありがとう	75	multi	5	1118	250
来る	74	multi	2	27624	251
見た	74	multi	2	26561	252
ても	74	multi	2	25706	253
うち	74	multi	2	25984	254
これが	73	multi	3	27338	255
つもり	73	multi	3	27768	256
のが	73	multi	2	25623	257
られた	72	multi	3	26308	258
でした	72	multi	3	25677	259
つけ	71	multi	2	25734	260
ちゃんと	71	multi	4	27552	261
せい	71	multi	2	27466	262
キャ	71	multi	2	25602	263
下さい	70	multi	3	26661	264
すぐ	70	multi	2	25988	265
さんが	70	multi	3	26578	266
られ	70	multi	2	25528	267
まる	70	multi	2	26615	268
一人	70	multi	2	6855	269
とう	70	multi	2	978	270
ひと	70	multi	2	25783	271
言った	70	multi	3	27979	272
ひとり	69	multi	3	28316	273
明日	69	multi	2	13561	274
おり	68	multi	2	25565	275
私が	68	multi	2	26559	276
それに	68	multi	3	26803	277
になった	68	multi	4	25870	278
ょう	68	multi	2	25524	279
できる	67	multi	3	25812	280
はない	67	multi	3	26579	281
いけ	67	multi	2	26538	282
とき	67	multi	2	25718	283
かり	67	multi	2	25563	284
ことを	67	multi	3	26190	285
さんは	66	multi	3	26872	286
ると	65	multi	2	25840	287
パパ	65	multi	2	26147	288
たく	65	multi	2	25944	289
来て	64	multi	2	27233	290
ライ	64	multi	2	25638	291
えない	64	multi	3	26947	292
られる	64	multi	3	26189	293
かけ	64	multi	2	25909	294
ード	63	multi	2	734	295
でき	63	multi	2	25507	296
と思う	63	multi	3	25864	297
コレ	63	multi	2	27859	298
クリ	62	multi	2	25657	299
ディ	62	multi	2	25687	300
まったく	62	multi	4	28302	301
います	62	multi	3	665	302
わかる	61	multi	3	27691	303
まった	61	multi	3	26072	304
はどう	61	multi	3	27205	305
しっかり	61	multi	4	26038	306
えば	61	multi	2	25666	307
まり	61	multi	2	25724	308
それで	61	multi	3	27567	309
つき	60	multi	2	26925	310
くて	60	multi	2	26458	311
ハイ	60	multi	2	27033	312
くらい	59	multi	3	26239	313
わかり	59	multi	3	26853	314
しょう	59	multi	3	25536	315
知らない	59	multi	4	27802	316
ップ	58	multi	2	25587	317
のです	58	multi	3	26197	318
らい	58	multi	2	25861	319
スト	58	multi	2	833	320
カン	58	multi	2	27508	321
まさ	58	multi	2	28397	322
あなたの	58	multi	4	27264	323
やっぱ	57	multi	3	27187	325
なのに	57	multi	3	27234	326
なんです	57	multi	4	27303	327
ではない	57	multi	4	25633	328
気に	57	multi	2	26546	329
落ち	57	multi	2	26039	330
ってきた	57	multi	4	27134	331
しました	56	multi	4	26172	332
てくれ	56	multi	3	26107	333
ため	56	multi	2	25549	334
まず	56	multi	2	25974	335
める	56	multi	2	25923	336
すぎ	55	multi	2	25795	337
しかし	55	multi	3	1005	338
いません	55	multi	4	26690	339
帰り	55	multi	2	28022	340
何も	55	multi	2	27630	341
宇宙	55	multi	2	7338	342
があ	54	multi	2	25735	343
人が	54	multi	2	26221	344
よい	54	multi	2	26980	345
として	54	multi	3	25670	346
ひとつ	54	multi	3	27039	347
一緒に	54	multi	3	26081	348
もら	54	multi	2	25569	349
気持ち	54	multi	3	26352	350
られない	54	multi	4	26880	351
どういう	53	multi	4	28604	352
ってくれ	53	multi	4	27287	353
つい	53	multi	2	26427	354
なり	53	multi	2	25531	355
やり	53	multi	2	26405	356
できない	53	multi	4	26324	357
たり	52	multi	2	25642	358
マン	52	multi	2	25905	359
だと	52	multi	2	26213	360
を見	52	multi	2	25590	361
前に	52	multi	2	26251	362
に行	52	multi	2	25786	363
とい	52	multi	2	25740	364
ーン	51	multi	2	25564	365
ませ	51	multi	2	25518	366
とにかく	51	multi	4	27828	367
ましょう	51	multi	4	26886	368
自分	51	multi	2	25701	369
チャ	51	multi	2	25763	370
ります	50	multi	3	26295	371
入れ	50	multi	2	25906	372
ース	50	multi	2	660	373
ほう	50	multi	2	26601	374
思い	50	multi	2	25889	375
イト	49	multi	2	982	376
セン	49	multi	2	25993	377
イン	49	multi	2	921	378
今の	49	multi	2	26971	379
だし	49	multi	2	27475	380
見え	49	multi	2	26722	381
地球	49	multi	2	4518	382
私も	49	multi	2	27066	383
自分の	49	multi	3	26242	384
ここで	49	multi	3	27020	385
の中	49	multi	2	25725	386
コン	48	multi	2	25697	387
追	48	kanji1	1	1712	388
によ	48	multi	2	25846	389
きます	48	multi	3	25921	390
げる	48	multi	2	27724	391
声	48	kanji1	1	827	392
貴	48	kanji1	1	10869	393
選	48	kanji1	1	4481	395
サイ	48	multi	2	25980	396
春	48	kanji1	1	1618	397
なお	48	multi	2	27040	398
由	48	kanji1	1	781	399
予	47	kanji1	1	2021	401
ママ	47	multi	2	27840	402
はじめ	47	multi	3	26859	403
大事	47	multi	2	8176	405
しても	47	multi	3	25942	406
三	47	kanji1	1	409	407
練	47	kanji1	1	5671	409
桃	47	kanji1	1	2595	410
せる	46	multi	2	26528	412
国	46	kanji1	1	164	413
二人	46	multi	2	7835	414
めた	46	multi	2	27092	415
負け	46	multi	2	28222	416
初めて	45	multi	3	26536	417
安心	45	multi	2	9128	419
の方	45	multi	2	25878	420
のも	45	multi	2	26236	421
持って	45	multi	3	28650	422
解	45	kanji1	1	479	423
聞いた	45	multi	3	27956	424
羅	45	kanji1	1	8954	425
師	45	kanji1	1	2942	426
同じ	45	multi	2	25881	427
飛	45	kanji1	1	9070	428
昔	45	kanji1	1	5460	429
幸せ	45	multi	2	27686	431
困	45	kanji1	1	1715	432
と思った	45	multi	4	26625	433
きました	45	multi	4	25855	435
教えて	45	multi	3	27834	436
電話	44	multi	2	5103	437
いち	44	multi	2	27876	438
どんな	44	multi	3	26523	439
恐	44	kanji1	1	2380	441
呼	44	kanji1	1	1680	443
させて	44	multi	3	26013	444
実は	44	multi	2	26891	445
ロー	44	multi	2	26257	446
最近	44	multi	2	6044	447
つく	44	multi	2	26671	448
勉	44	kanji1	1	5381	449
れない	43	multi	3	26665	450
さて	43	multi	2	27333	451
なんと	43	multi	3	26810	452
もらう	43	multi	3	27131	453
社	43	kanji1	1	658	454
邪	43	kanji1	1	4519	455
音	43	kanji1	1	991	456
したい	43	multi	3	26203	457
だったら	43	multi	4	27852	458
みて	43	multi	2	26499	459
気づ	43	multi	2	27441	461
女の子	43	multi	3	27870	462
できた	43	multi	3	27091	463
芹	43	kanji1	1	19527	464
城	43	kanji1	1	640	465
萌	43	kanji1	1	7296	466
ように	42	multi	3	25581	467
すぎる	42	multi	3	27649	468
見える	42	multi	3	27688	469
もない	42	multi	3	26775	470
に入	42	multi	2	25665	471
甘	42	kanji1	1	2881	472
ないと	42	multi	3	26515	473
言い	42	multi	2	26949	474
いらっしゃ	42	multi	5	28346	475
世界	42	multi	2	1580	476
代	42	kanji1	1	199	477
馬	42	kanji1	1	6849	478
モン	42	multi	2	27036	479
行き	42	multi	2	26624	481
光	42	kanji1	1	1370	482
ような	42	multi	3	25619	483
ことが	42	multi	3	25515	484
とり	42	multi	2	28123	485
好きな	42	multi	3	26568	486
っていた	42	multi	4	25922	487
わかって	42	multi	4	28637	488
まぁ	42	multi	2	28212	489
など	41	multi	2	25571	491
ほしい	41	multi	3	27152	492
あたり	41	multi	3	27347	494
谷	41	kanji1	1	2271	495
リー	40	multi	2	25820	496
船	40	kanji1	1	2105	497
があった	40	multi	4	26417	498
運	40	kanji1	1	3502	500
重	40	kanji1	1	178	501
パン	40	multi	2	26445	502
され	40	multi	2	1080	503
待ち	40	multi	2	27349	505
通り	40	multi	2	26440	506
優	40	kanji1	1	5269	507
久しぶり	40	multi	4	28681	508
やら	40	multi	2	27366	509
売	40	kanji1	1	25771	510
眠	40	kanji1	1	3569	511
関	40	kanji1	1	1292	512
イヤ	40	multi	2	27114	513
守	40	kanji1	1	1900	514
思う	40	multi	2	26981	515
思い出	40	multi	3	27450	516
文	40	kanji1	1	43	517
ありません	40	multi	5	25721	518
生まれ	40	multi	3	26937	519
サン	40	multi	2	26552	520
化	39	kanji1	1	231	521
考えて	39	multi	3	26894	522
すごく	39	multi	3	27200	523
かけて	39	multi	3	26999	525
ほうが	39	multi	3	26602	526
坊	39	kanji1	1	2959	527
なのか	39	multi	3	26651	528
どれ	39	multi	2	27116	529
ってくる	39	multi	4	27708	530
火	39	kanji1	1	1006	531
ここまで	39	multi	4	28448	532
博士	39	multi	2	4278	533
ばかり	39	multi	3	26531	534
都	39	kanji1	1	854	535
院	39	kanji1	1	1252	536
トラ	39	multi	2	25758	537
捨て	39	multi	2	27713	538
軍	38	kanji1	1	7342	539
バイ	38	multi	2	25936	540
シュ	38	multi	2	27527	542
っていう	38	multi	4	27647	543
苦	38	kanji1	1	1827	545
ること	38	multi	3	25700	546
んだろう	38	multi	4	27831	548
レー	38	multi	2	26269	549
ございます	38	multi	5	27302	550
一体	38	multi	2	2184	552
なのだ	38	multi	3	27817	553
強い	38	multi	2	26797	554
んですよ	38	multi	4	27476	555
全部	38	multi	2	1107	556
王子	38	multi	2	9309	557
こちら	37	multi	3	25935	558
放	37	kanji1	1	536	559
降	37	kanji1	1	1550	560
ッチ	37	multi	2	25892	561
っきり	37	multi	3	27512	562
であ	37	multi	2	25761	563
忘れ	37	multi	2	26990	564
倒	37	kanji1	1	1884	566
最後	37	multi	2	9531	567
らず	37	multi	2	26383	568
弱	37	kanji1	1	2009	569
っぱ	37	multi	2	25793	570
念	37	kanji1	1	1480	571
チョ	37	multi	2	27468	572
作	37	kanji1	1	68	573
東	37	kanji1	1	4381	574
いら	37	multi	2	28344	575
ボール	37	multi	3	27944	576
ところで	37	multi	4	27213	577
間に	37	multi	2	26717	578
石	37	kanji1	1	1486	579
そうです	37	multi	4	26271	580
取り	37	multi	2	25842	581
てい	36	multi	2	26101	582
冷	36	kanji1	1	1569	583
少年	36	multi	2	4303	584
座	36	kanji1	1	1667	585
殿	36	kanji1	1	2944	586
役	36	kanji1	1	2671	587
川	36	kanji1	1	2477	588
五	36	kanji1	1	922	589
キー	36	multi	2	26642	590
使い	36	multi	2	26365	591
