# run0925_300f (2026-09-25): 300 warm one-token multi-glyph pieces for the freeze arm —
# the 5 product-ruler pieces + run0925_72's 24, then ja_cold_0001_1900.txt by corpus count;
# every row is in rows_step1_0921_merged (warm). Columns as ja_cold_0001_1900.txt.
# piece	count	glyphs	ext_id	src_rank
って	1760	2	940	1
じゃ	1290	2	25742	2
んだ	1240	2	25679	3
ない	1188	2	25504	4
いい	1091	2	25808	5
から	1062	2	548	6
さん	1001	2	1304	7
った	915	2	25502	8
でも	757	2	859	9
ちゃん	752	3	25717	10
して	708	2	327	11
この	691	2	489	12
どう	672	2	25583	13
そう	671	2	25551	14
した	633	2	567	15
なんだ	537	3	26914	16
なん	519	2	25544	17
もう	518	2	26199	18
じゃない	504	4	25952	19
です	502	2	308	20
そんな	466	3	26205	21
それ	464	2	951	22
あの	454	2	26884	23
その	436	2	606	24
のか	431	2	26169	25
ちょっと	415	4	26264	26
これ	392	2	1096	27
だから	389	3	26245	28
いた	386	2	25520	29
こと	383	2	25503	30
する	381	2	545	31
いつ	381	2	25957	32
いや	375	2	27133	33
いて	366	2	25512	34
だった	336	3	25671	35
けど	333	2	25825	36
っと	331	2	25586	37
また	327	2	528	38
かった	321	3	25580	39
ちゃ	318	2	25592	40
ってる	315	3	27111	41
んな	312	2	25626	42
さい	306	2	727	43
には	294	2	25609	44
かな	294	2	26198	45
しい	292	2	25510	46
ここ	290	2	25713	47
こんな	286	3	26337	48
だって	284	3	27164	49
なの	274	2	25655	50
なんて	271	3	26274	51
まだ	270	2	25714	52
あれ	265	2	27096	53
なら	257	2	25612	54
んで	247	2	25618	55
っち	245	2	26941	56
どこ	244	2	26379	57
あなた	242	3	25940	58
よう	241	2	25505	59
なかった	238	4	26168	60
もの	231	2	25521	61
たい	229	2	25574	62
やって	229	3	26455	63
だけ	227	2	25573	64
なんか	226	3	26929	65
んです	224	3	25561	66
いる	223	2	25506	67
ですか	221	3	26700	68
まで	220	2	25572	69
しか	220	2	763	70
くん	219	2	27779	71
では	216	2	943	72
さま	214	2	26050	73
こう	211	2	25865	74
にも	208	2	26165	75
っちゃ	207	3	27083	76
丈夫	206	2	6683	77
めて	201	2	25894	78
のは	200	2	25610	79
好き	199	2	25914	80
よく	193	2	26208	81
ます	192	2	238	82
のに	192	2	26252	83
わたし	191	3	27659	84
それは	187	3	26401	85
ある	185	2	25511	86
けて	184	2	25663	87
くれ	182	2	25605	88
まあ	180	2	27437	89
みたい	178	3	25749	90
なんで	175	3	28170	91
れて	174	2	26323	92
しく	172	2	25848	93
ただ	172	2	1174	94
これは	170	3	26312	95
おい	165	2	28564	96
言って	161	3	26992	97
よね	161	2	25747	98
とか	159	2	26179	99
ント	155	2	510	100
早く	153	2	26869	101
ろう	150	2	25630	102
きた	149	2	25660	103
先生	149	2	2723	104
にな	148	2	25509	105
ください	148	4	852	106
ません	147	3	25522	107
みんな	146	3	26755	108
ですよ	146	3	27230	109
そうだ	144	3	27679	110
今日	143	2	4267	111
アイ	143	2	25966	112
とは	141	2	25811	113
しない	136	3	26276	114
いま	135	2	26850	115
いった	135	3	26610	116
えて	135	2	25884	117
行く	133	2	27061	118
私は	132	2	26224	119
がある	131	3	25807	120
ねぇ	130	2	28670	121
悪い	130	2	26799	122
してる	129	3	27403	123
何か	128	2	26527	124
かい	128	2	27126	125
のお	128	2	26247	126
来た	127	2	27119	127
てる	127	2	26998	128
ですね	127	3	26202	129
あげ	127	2	26815	130
える	127	2	25624	131
します	126	3	968	132
よかった	124	4	27765	133
だろう	123	3	26235	134
そこ	122	2	25743	135
のだ	122	2	26468	136
だけど	122	3	26063	137
しな	121	2	25869	138
ったら	121	3	27359	139
ました	118	3	990	140
やっぱり	118	4	27188	141
たら	118	2	26256	142
つか	118	2	25969	143
なる	118	2	25595	144
れた	115	2	26277	145
より	115	2	25673	146
すごい	114	3	27755	147
れる	114	2	26207	148
わか	113	2	28636	149
いか	113	2	26644	150
わけ	112	2	25658	151
ける	111	2	25600	152
もっと	111	3	26447	153
いない	111	3	25653	154
になる	111	3	25675	155
おか	111	2	28380	156
いく	110	2	25567	157
っき	109	2	27511	158
しゃ	109	2	26123	159
たち	108	2	25694	160
せて	108	2	26696	161
ール	107	2	704	162
くる	107	2	25662	163
見て	106	2	26658	164
とも	106	2	25860	165
のこと	105	3	26678	166
言う	104	2	26708	167
なく	104	2	25523	168
ダメ	104	2	27835	169
あった	103	3	26439	170
んじゃない	102	5	28554	171
それが	102	3	26741	172
まい	101	2	27112	173
学校	101	2	2411	174
なくて	100	3	26453	175
しま	100	2	25508	176
いで	98	2	26890	177
いつも	98	3	26482	178
そして	97	3	1003	179
かない	96	3	26904	180
れば	96	2	25529	181
の人	96	2	26588	182
してくれ	95	4	26051	183
こん	95	2	800	184
わり	94	2	25787	185
時間	94	2	1052	186
本当に	94	3	26336	187
ちょ	93	2	25868	188
らしい	93	3	25976	189
きて	93	2	26117	190
私の	92	2	26354	191
こそ	92	2	26660	192
らない	92	3	25899	193
まま	91	2	25979	194
にして	91	3	26397	195
しよう	91	3	26036	196
したら	90	3	26430	197
今日は	90	3	26926	198
ット	89	2	764	199
んだけど	87	4	27330	200
考え	87	2	25560	201
あと	87	2	26441	202
くな	87	2	26058	203
ずっと	86	3	27086	204
食べ	86	2	25646	205
あり	85	2	592	206
信じ	85	2	28097	207
われ	84	2	25599	208
でしょう	84	4	25613	209
ちは	84	2	1115	210
聞いて	84	3	27051	211
になって	83	4	26200	212
気が	83	2	26298	213
お願い	82	3	26715	214
ほど	82	2	26184	215
出て	81	2	26040	216
えた	81	2	26712	217
という	80	3	25548	218
だが	80	2	26463	219
ことは	80	3	26241	220
しっ	80	2	26037	221
と思って	79	4	26576	222
少し	79	2	26225	223
がない	79	3	26306	224
かも	79	2	25648	225
人の	79	2	26222	226
そういう	79	4	26763	227
違う	78	2	26548	228
っている	78	4	25575	229
ート	77	2	1084	230
っこ	77	2	27833	231
ック	77	2	446	232
これから	77	4	26750	233
ところ	77	3	25821	234
きっと	77	3	27895	235
行って	77	3	26964	236
人は	77	2	26262	237
わない	77	3	26930	238
もし	76	2	26462	239
本当	76	2	26335	240
いう	76	2	1266	241
シャ	76	2	25897	242
さんの	76	3	26344	243
にお	76	2	25753	244
なぁ	76	2	26932	245
なぜ	76	2	26785	246
まって	75	3	27623	247
はず	75	2	26032	248
ありが	75	3	1100	249
ありがとう	75	5	1118	250
来る	74	2	27624	251
見た	74	2	26561	252
ても	74	2	25706	253
うち	74	2	25984	254
これが	73	3	27338	255
つもり	73	3	27768	256
のが	73	2	25623	257
られた	72	3	26308	258
でした	72	3	25677	259
つけ	71	2	25734	260
ちゃんと	71	4	27552	261
せい	71	2	27466	262
キャ	71	2	25602	263
下さい	70	3	26661	264
すぐ	70	2	25988	265
さんが	70	3	26578	266
られ	70	2	25528	267
まる	70	2	26615	268
一人	70	2	6855	269
とう	70	2	978	270
ひと	70	2	25783	271
言った	70	3	27979	272
ひとり	69	3	28316	273
明日	69	2	13561	274
おり	68	2	25565	275
私が	68	2	26559	276
それに	68	3	26803	277
になった	68	4	25870	278
ょう	68	2	25524	279
できる	67	3	25812	280
はない	67	3	26579	281
いけ	67	2	26538	282
とき	67	2	25718	283
かり	67	2	25563	284
ことを	67	3	26190	285
さんは	66	3	26872	286
ると	65	2	25840	287
パパ	65	2	26147	288
たく	65	2	25944	289
来て	64	2	27233	290
ライ	64	2	25638	291
それを	35	3	26585	602
はじ	35	2	26858	603
やはり	35	3	26725	604
すご	35	2	26073	617
メン	35	2	26007	629
アン	32	2	26425	686
プロ	29	2	25877	759
ファ	28	2	25597	769
こんにちは	13	5	1167	1426
