count	slots	chars	axis	ja	en	via
14754	3	5	general	女の子1人	1girl	mt_unverified
10634	2	2	general	赤面	blush	wiki_verified
10429	5	6	general	露骨な性描写	explicit	rating
9536	2	3	general	長い髪	long hair	mt_verified
7670	3	5	general	カメラ目線	looking at viewer	override
7264	2	2	general	乳首	nipples	mt_unverified
7085	5	5	general	男の子1人	1boy	mt_unverified
6442	2	4	general	修正あり	censored	mt_unverified
6407	3	3	general	ヘテロ	hetero	wiki_verified
6356	3	5	general	口を開ける	open mouth	override
6258	2	2	general	ソロ	solo	wiki_verified
6111	2	2	general	巨乳	large breasts	mt_unverified
6041	2	2	general	へそ	navel	wiki_verified
5460	3	3	general	ペニス	penis	mt_verified
4919	4	4	general	おまんこ	pussy	mt_unverified
4211	2	2	general	黒髪	black hair	mt_verified
4126	2	2	general	笑顔	smile	override
4070	2	2	general	お尻	ass	mt_unverified
3652	2	2	general	下着	underwear	mt_verified
3571	3	7	general	シンプルな背景	simple background	mt_verified
3556	3	4	general	おっぱい	breasts	tagpair_verified
3540	3	3	general	太もも	thighs	mt_verified
3523	2	2	general	貧乳	small breasts	override
3447	2	4	copyright	自キャラ	original	wiki
3404	3	3	general	青い目	blue eyes	override
3351	3	3	general	髪飾り	hair ornament	mt_verified
3319	4	6	general	ショートヘア	short hair	mt_verified
3137	3	6	general	センシティブ	sensitive	rating
3127	2	4	general	成人向け	nsfw	rating
3056	3	4	general	白い背景	white background	mt_verified
3023	2	4	general	バー修正	bar censor	override
3010	2	4	general	横になる	lying	mt_unverified
2943	6	7	general	ソロフォーカス	solo focus	tagpair_verified
2899	2	2	general	茶髪	brown hair	override
2836	3	4	general	普通の胸	medium breasts	mt_unverified
2780	2	2	general	ロリ	loli	mt_verified
2765	2	2	general	精液	cum	mt_unverified
2742	2	3	general	ヌード	nude	wiki_verified
2716	2	2	general	開脚	spread legs	wiki_verified
2603	6	8	general	モザイク修正あり	mosaic censoring	mt_unverified
2547	2	2	general	鎖骨	collarbone	mt_unverified
2509	4	6	general	ツインテール	twintails	mt_verified
2505	4	6	general	金髪ショート	blonde hair	wiki_verified
2501	2	2	general	全裸	completely nude	mt_unverified
2466	2	3	general	ハート	heart	mt_verified
2436	2	2	general	水着	swimsuit	mt_unverified
2287	2	3	general	肩出し	bare shoulders	mt_unverified
2216	5	5	general	口を閉じる	closed mouth	override
2194	3	3	general	赤い目	red eyes	mt_verified
2159	2	2	general	獣耳	animal ears	override
2138	3	3	general	後ろ姿	on back	mt_unverified
2110	2	2	general	前髪	hair between eyes	override
1991	2	2	general	座る	sitting	mt_unverified
1960	2	2	general	お腹	stomach	mt_verified
1907	6	8	general	複数の女の子1人	multiple girls	mt_verified
1901	3	4	general	紫色の瞳	purple eyes	mt_verified
1900	2	2	general	立つ	standing	mt_verified
1897	2	2	general	長袖	long sleeves	mt_verified
1860	4	7	general	服が持ち上がる	clothes lift	mt_verified
1860	4	4	general	茶色い目	brown eyes	mt_verified
1772	3	3	general	アヌス	anus	wiki_verified
1736	3	4	general	舌を出す	tongue out	override
1686	3	6	general	アクセサリー	jewelry	override
1675	4	4	general	胸の谷間	cleavage	override
1658	3	3	copyright	青アカ	blue archive	wiki
1650	4	9	general	後ろからのセックス	sex from behind	mt_verified
1632	3	3	general	お辞儀	bow	mt_verified
1618	3	4	general	白シャツ	white shirt	wiki_verified
1611	7	8	general	ベリーロングヘア	very long hair	wiki_verified
1590	3	3	general	多色髪	multicolored hair	wiki_verified
1567	3	3	general	青い髪	blue hair	mt_verified
1564	3	4	general	吹き出し	speech bubble	mt_unverified
1508	2	2	general	視点	pov	mt_unverified
