row	stem	box	det_score	kind	text	real_text	claude	note
0	10029747	[583, 255, 609, 307]	0.8621	sfx	ずっ♡		y	
1	10029747	[573, 532, 610, 616]	0.6308	speech	フリ♥		y	
2	10029747	[558, 885, 592, 941]	0.6631	sfx	ぢゅぽ		y	
3	10506513	[861, 607, 901, 723]	0.9077	sfx	ぬぎっ♡		y	
4	10758983	[107, 867, 142, 957]	0.6314	sfx	じくっ		y	
5	10786750	[338, 139, 394, 223]	0.3682	sfx	ぱん		y	
6	10786750	[235, 43, 308, 142]	0.678	sfx	ぱん		y	
7	10792115	[40, 171, 79, 280]	0.9186	sfx	びくっ♡		y	
8	10985746	[523, 73, 642, 385]	0.7602	sfx	びくびく・・・・♡♡		y	
9	10989351	[690, 193, 784, 260]	0.495	sfx	びく♡		y	
10	10992018	[154, 547, 202, 664]	0.5915	speech	へこ♡		y	
11	11822164	[558, 178, 612, 266]	0.6643	speech	ふく♡		y	
12	11887527	[414, 106, 445, 181]	0.8555	sfx	びく♡		y	
13	11887527	[117, 459, 171, 586]	0.5816	sfx	ぱん♥		y	
14	12351682	[515, 873, 572, 939]	0.8181	sfx	ドド		y	read 'ドド' vs black hand-lettered glyphs
15	12426261	[52, 167, 85, 243]	0.6864	speech	Hの~		y	
16	12426261	[61, 565, 101, 665]	0.915	sfx	ボフ		y	
17	12451286	[785, 281, 876, 433]	0.8839	sfx	ぱん♡		y	
18	12469135	[1084, 261, 1122, 361]	0.8768	sfx	ガク♥		y	
19	13558963	[839, 222, 869, 286]	0.7917	sfx	ぶくん		y	
20	13785620	[667, 689, 729, 1011]	0.3408	speech	スーくにくに☆		y	
21	13785760	[39, 139, 93, 305]	0.906	sfx	ぴゅ~♡		y	
22	13798937	[707, 515, 807, 580]	0.4968	speech	ひく		y	
23	14068612	[576, 146, 616, 230]	0.4712	speech	あ゙ン		y	
24	14068612	[60, 272, 111, 458]	0.3254	speech	はーッーッーッ		y	thin dashes column, read plausible
25	14155438	[584, 225, 658, 296]	0.5002	sfx	ビュービュー		y	
26	14233561	[440, 139, 460, 188]	0.565	speech	あっッ		y	
27	14256298	[40, 459, 77, 529]	0.878	sfx	びく		y	
28	14261561	[710, 436, 856, 769]	0.598	sfx	ビュー♡		y	
29	14261561	[464, 298, 487, 400]	0.8159	sfx	ちゅー♡		y	
30	5502682	[632, 548, 699, 702]	0.5799	sfx	びく★		y	
31	5504446	[502, 73, 590, 190]	0.6029	sfx	びく★		y	
32	5602467	[1039, 18, 1118, 174]	0.6306	sfx	ブヂュ★		y	
33	6144410	[64, 823, 93, 989]	0.9055	sfx	ガクガク・・・		y	
34	6256817	[60, 447, 158, 586]	0.8864	sfx	ぐんばっ♪		y	
35	6329227	[92, 818, 161, 932]	0.8047	sfx	ぱん		y	
36	6491875	[263, 119, 359, 202]	0.4264	speech	おぁ(あん)		y	
37	6575532	[75, 197, 127, 314]	0.7329	sfx	どっ		y	
38	6771124	[1304, 0, 1391, 141]	0.8577	sfx	ぱく		y	
39	6771124	[508, 527, 562, 633]	0.8583	speech	あっ♡		y	
40	6771124	[252, 38, 383, 115]	0.7145	sfx	びく~		y	
41	6933259	[213, 1007, 287, 1231]	0.912	sfx	ばちゅ♡		y	
42	7121397	[675, 713, 777, 826]	0.2557	speech	ひく		y	
43	7622297	[704, 416, 770, 573]	0.8721	sfx	ガクッ		y	
44	7622297	[97, 255, 155, 495]	0.8466	sfx	びくびく・・・		y	
45	7999122	[734, 152, 833, 286]	0.326	sfx	びく♥		y	
46	8222101	[76, 794, 147, 966]	0.877	sfx	ぱィ☆		y	
47	8570605	[925, 310, 967, 385]	0.5028	sfx	ピク・・・・♡		y	
48	8736551	[106, 318, 141, 386]	0.6401	sfx	シュッ		y	
49	9053497	[165, 762, 190, 824]	0.7263	speech	んっ♡		y	
50	9410775	[556, 192, 593, 269]	0.8661	sfx	ペロペロペロ		y	
51	9824299	[659, 353, 690, 417]	0.3987	speech	はあ		y	
52	9830919	[1053, 214, 1092, 349]	0.8984	speech	綾能・・・		y	read off (kanji column, 變態…); lettering real
53	9885272	[638, 655, 688, 738]	0.7429	sfx	びく♥		y	
54	9995486	[823, 699, 905, 839]	0.5016	sfx	ビュー		y	
55	9995486	[842, 150, 885, 236]	0.8689	sfx	ガク♡		y	
56	9995486	[828, 704, 869, 754]	0.4948	sfx	じょ		y	
57	9995486	[652, 750, 775, 857]	0.314	sfx	きっ		y	pink scribble SFX with hearts, read uncertain
58	9995486	[716, 552, 766, 635]	0.9021	speech	正下		y	
59	9995486	[156, 226, 190, 286]	0.8204	speech	おっ♡		y	
