row	stem	box	det_score	engine	kind_rec	text_rec	kind_hand	text_hand	status	src_row	note
0	10029747	[583, 255, 609, 307]	0.8621	animetext+sfx_reader	sfx	ずっ♡	sfx	ずっ♡	drafted		D1 hand pass #0 real_text=y
1	10029747	[171, 431, 215, 585]	0.4674	animetext+sfx_reader	sfx	ミー~フリ	sfx	ミーフリ♡	draft		opus: top two glyphs uncertain (ミー vs ~)
2	10029747	[573, 532, 610, 616]	0.6308	animetext+sfx_reader	speech	フリ♥	sfx	フリ♡	drafted		D1 hand pass #1 real_text=y; opus: kind changed: no bubble
3	10029747	[568, 680, 636, 761]	0.917	animetext+sfx_reader	speech	正ト正ト	chrome	正正正丅	draft		opus: tally marks written on skin; read left-to-right, last is a 2-stroke partial 正; kind changed
4	10029747	[558, 885, 592, 941]	0.6631	animetext+sfx_reader	sfx	ぢゅぽ	sfx	ぢゅぽ	drafted		D1 hand pass #2 real_text=y
5	10029747	[299, 904, 336, 971]	0.3035	animetext+sfx_reader	sfx	ぐちゃ	sfx	ぐちゃ	drafted		opus: partly occluded by a highlight
6	10382939	[396, 36, 445, 289]	0.9432	animetext+sfx_reader	speech	請隨心所欲狼狼地玩弄我吧前輩♥	speech	請隨心所欲狼狽地玩弄我吧 前驚	checked	0	
7	10504719	[325, 14, 398, 325]	0.9462	animetext+sfx_reader	speech	ハ奈見さんっ・・水着っっ!!	speech	バ茶見す人っ！水着っ！	checked	1	
8	10504719	[42, 251, 73, 353]	0.9084	animetext+sfx_reader	speech	へっへ。	speech	へっフ・	checked	3	
9	10504719	[360, 1018, 397, 1166]	0.8975	animetext+sfx_reader	sfx	ごめんっっ	sfx	ごめん	checked	2	hand-lettered spoken word, no bubble
10	10506513	[576, 25, 605, 521]	0.8735	animetext+sfx_reader	speech	嘘だ~、おちんちんは我慢できない~って言ってるよ?	speech	嘘だ～、おちんちんは我慢できない～って言ってるよ？	checked	6	
11	10506513	[1086, 25, 1117, 579]	0.8499	animetext+sfx_reader	speech	温水くん、私と一緒にいるとやっぱりムラムラしちゃうんだ~♡	speech	温水くん、私と一緒にいるとやっぱりムうムうしちゃうんだ～♡	checked	4	
12	10506513	[159, 26, 185, 166]	0.9056	animetext+sfx_reader	speech	あっ...うっ...	speech	あっ…うっ…	checked	7	
13	10506513	[950, 26, 999, 370]	0.9382	animetext+sfx_reader	speech	いや、ちがっ...八奈見さん、ここじゃまずいって...う!	speech	いや、ちがっ…… 八奈見さんここじゃまずいっで・う	checked	5	
14	10506513	[397, 222, 477, 332]	0.6889	animetext+sfx_reader	speech	じゃるるるるるる	sfx	じゃるるるるるる	draft		opus: kind changed: no bubble; glyph count and ゃ vs ゅ uncertain
15	10506513	[950, 407, 989, 505]	0.8429	animetext+sfx_reader	sfx	びくっ♥	sfx	びくっ♡	drafted		
16	10506513	[861, 607, 901, 723]	0.9077	animetext+sfx_reader	sfx	ぬぎっ♡	sfx	ぬぎっ♡	drafted		D1 hand pass #3 real_text=y
17	10520554	[712, 42, 742, 202]	0.9232	animetext+sfx_reader	speech	...えっ...!?	speech	・・・えっ・・・！？	checked	9	
18	10520554	[776, 43, 810, 412]	0.8899	animetext+sfx_reader	speech	これ食べたらもう1回ヤろ?	speech	これ食べたらもう1回ヤろ？	checked	8	
19	10520554	[137, 147, 172, 428]	0.9184	animetext+sfx_reader	speech	ほいこれ、温水くんの	speech	ほいこれ、温水くんの	checked	10	
20	10520554	[69, 238, 105, 650]	0.9138	animetext+sfx_reader	speech	ありがと...(って食えるかっ!)	speech	ありがと…って食えるかっ！	checked	11	
21	10625654	[646, 93, 680, 346]	0.6175	animetext+sfx_reader	speech	特別だよ~っ.♡	speech	特別だよー？♡	drafted	12	box moved iou=0.30 from old #12; opus: kind changed: hand-lettered, no bubble; box holds only this column (もー is outside); opus kind sfx reverted to user speech
22	10657487	[120, 87, 152, 190]	0.9011	animetext+sfx_reader	sfx	カーッ♥	sfx	カーッ♡	drafted		
23	10657487	[1031, 91, 1071, 372]	0.9041	animetext+sfx_reader	speech	ん~?今すぐ?	speech	ん～？今すぐ？	checked	13	
24	10657487	[49, 162, 110, 484]	0.454	animetext+sfx_reader	speech	ってそっち!?	speech	ってそっち!?	checked	18	hand-lettered dialogue
25	10657487	[979, 355, 1013, 556]	0.5434	animetext+sfx_reader	speech	あとでいっぱい	speech	あとでいっぱい	checked	14	
26	10657487	[584, 425, 619, 610]	0.8923	animetext+sfx_reader	sfx	ぬぎ♡ぬぎ♡	sfx	ぬぎ♡ ぬぎ♡	checked	16	uncertain
27	10657487	[942, 494, 972, 794]	0.4913	animetext+sfx_reader	speech	もませてあげるのにー♡	speech	もませてあがるのにー	checked	15	
28	10657487	[149, 513, 184, 597]		hand_only	sfx	むにゃ	sfx	むにゅ	unchecked	17	no AnimeText record covers this old box
29	10657487	[136, 514, 170, 671]	0.9165	animetext+sfx_reader	sfx	むにゅ~♡	sfx	むにゃ~♡	drafted		old #17 fragment inside: むにゅ; opus: にゃ not にゅ
30	10758983	[71, 129, 107, 169]	0.6639	animetext+sfx_reader	sfx	ちゅ	sfx	ちゅ	drafted		opus: heart is outside the box
31	10758983	[482, 161, 514, 236]	0.6241	animetext+sfx_reader	speech	んちゃ	sfx	んちゃ♡	drafted		opus: kind changed: no bubble
32	10758983	[107, 867, 142, 957]	0.6314	animetext+sfx_reader	sfx	じくっ	sfx	びくっ	drafted		D1 hand pass #4 real_text=y; opus: hearts are outside the box
33	10786750	[360, 30, 414, 117]	0.8134	animetext+sfx_reader	sfx	ぱん	sfx	ぱん	drafted		
34	10786750	[235, 43, 308, 142]	0.678	animetext+sfx_reader	sfx	ぱん	sfx	ぱん	drafted		D1 hand pass #6 real_text=y
35	10786750	[338, 139, 394, 223]	0.3682	animetext+sfx_reader	sfx	ぱん	sfx	ぱん	drafted		D1 hand pass #5 real_text=y
36	10786750	[288, 252, 388, 308]	0.5697	animetext+sfx_reader	sfx	びくっ♡	sfx	びくっ♡	drafted		
37	10786750	[0, 382, 47, 487]	0.7777	animetext+sfx_reader	sfx	ミくっ♡	sfx	びくっ♡	drafted		opus: first glyph is び (dakuten), not ミ
38	10792115	[666, 47, 728, 172]	0.8754	animetext+sfx_reader	sfx	びくっ♡	sfx	びくっ♡	draft		opus: a と-like glyph at lower-left may belong to it (びくっと)
39	10792115	[40, 171, 79, 280]	0.9186	animetext+sfx_reader	sfx	びくっ♡	sfx	びくっ♡	drafted		D1 hand pass #7 real_text=y
40	10792115	[687, 205, 766, 354]	0.931	animetext+sfx_reader	speech	がんばえ♥がんばえ♥	speech	なァがくてなァが	checked	19	
41	10793990	[84, 197, 125, 305]	0.9011	animetext+sfx_reader	sfx	びくっ☆	sfx	びくっ♡	drafted		opus: final mark is a heart, not ☆
42	10793990	[102, 416, 141, 573]	0.6438	animetext+sfx_reader	sfx	ブハンッ♥	sfx	ブハンッ♡	drafted		
43	10793990	[761, 586, 851, 697]	0.4357	animetext+sfx_reader	speech	ふくっん	sfx	びくっん	draft		opus: kind changed: no bubble; trailing ん uncertain
44	10793990	[150, 623, 215, 710]	0.6008	animetext+sfx_reader	speech	ヘン☆	sfx	へこ♡ へこ♡	draft		opus: kind changed: no bubble; two blocks, #45 is the lower one
45	10793990	[154, 677, 206, 705]	0.2623	animetext+sfx_reader	speech	へい♡	sfx	へこ♡	draft		opus: kind changed: no bubble; box nested inside #44 (lower block)
46	10793990	[623, 712, 691, 870]	0.7298	animetext+sfx_reader	sfx	ブハン♡ん	sfx	ブハン♡ん	draft		opus: final glyph uncertain
47	10793990	[542, 805, 597, 888]	0.6491	animetext+sfx_reader	speech	へこん	sfx	へこん	draft		opus: kind changed: no bubble; two strokes at left read as motion lines
48	10829778	[766, 54, 837, 97]	0.8999	animetext+sfx_reader	sfx	グイッ	sfx	グイッ	checked	20	black hand lettering; uncertain
49	10836172	[654, 55, 768, 393]	0.9438	animetext+sfx_reader	speech	かほー♡おちんぽの時間だぞー♡	speech	かほー♡ おちんぽの時間だぞー♡	checked	21	
50	10836172	[553, 310, 589, 390]	0.5561	animetext+sfx_reader	speech	へっ♡	sfx	へっ♡	drafted		opus: kind changed: outline halo, not a bubble
51	10836172	[107, 503, 151, 622]	0.872	animetext+sfx_reader	speech	信っ・	speech	待て、	drafted	22	split 2 ways from old #22 (hand: 侍々ン待てだからなー♡); opus: in a hand-drawn bubble; final mark 、 vs っ
52	10836172	[48, 520, 94, 811]	0.3086	animetext+sfx_reader	speech	待てだからなー♡	speech	待てだからなー♡	drafted	22	split 2 ways from old #22 (hand: 侍々ン待てだからなー♡)
53	10836172	[847, 617, 872, 705]	0.8763	animetext+sfx_reader	speech	フリ♡	sfx	フリ♡	drafted		opus: kind changed: no bubble
54	10836172	[806, 728, 835, 791]	0.7549	animetext+sfx_reader	speech	フリ♡	sfx	フリ♡	drafted		opus: kind changed: no bubble
55	10836172	[55, 896, 195, 947]	0.307	animetext+sfx_reader	speech	KAH	chrome	KAHO	drafted		opus: kind changed: name lettered on a pet bowl
56	10843780	[369, 106, 415, 223]	0.461	animetext+sfx_reader	sfx	ぶっーーー	sfx	ぶー♡	draft		opus: long stroke plus several floating hearts; exact sequence unclear
57	10843780	[53, 765, 109, 917]		hand_only	speech	ますたぁ	speech	ますたぁ	unchecked	24	no AnimeText record covers this old box
58	10843780	[198, 824, 280, 1137]	0.9345	animetext+sfx_reader	speech	ますたぁのおちんぽぉ~	speech	ますたあの おち人ぽお	checked	23	
59	10843780	[310, 835, 356, 904]	0.676	animetext+sfx_reader	sfx	びく♥	sfx	びく♡	drafted		
60	10985746	[121, 34, 183, 159]	0.8966	animetext+sfx_reader	speech	おっ♡	speech	おっ♡	drafted		opus: pink bubble with a tail
61	10985746	[523, 73, 642, 385]	0.7602	animetext+sfx_reader	sfx	びくびく・・・・♡♡	sfx	びくびく・・・・♡♡	drafted		D1 hand pass #8 real_text=y
62	10985746	[647, 134, 833, 433]	0.8496	animetext+sfx_reader	sfx	パシッ♥パシッ♥	sfx	パンッ♡ パンッ♡	draft		opus: two blocks; ン vs シ uncertain
63	10985746	[46, 175, 123, 316]	0.8351	animetext+sfx_reader	speech	あヘ♡	speech	あへ♡	drafted		opus: bubble with a tail
64	10985746	[76, 388, 151, 524]	0.5279	animetext+sfx_reader	speech	おへっ♡	speech	おへっ♡	drafted		
65	10985746	[14, 479, 69, 563]	0.5217	animetext+sfx_reader	speech	おい	sfx	おじ	draft		opus: kind changed: no bubble; box covers 2 chars of a longer hand-lettered line; 2nd glyph じ vs り
66	10985746	[1003, 560, 1168, 864]	0.9294	animetext+sfx_reader	sfx	ドチュ♥ドチュ♥	sfx	ドチュ♡ ドチュ♡	drafted		opus: two blocks
