# rank	piece	count	class	glyphs
1	って	1760	multi	2
2	じゃ	1290	multi	2
3	んだ	1240	multi	2
4	ない	1188	multi	2
5	いい	1091	multi	2
6	から	1062	multi	2
7	さん	1001	multi	2
8	った	915	multi	2
9	でも	757	multi	2
10	ちゃん	752	multi	3
11	して	708	multi	2
12	この	691	multi	2
13	どう	672	multi	2
14	そう	671	multi	2
15	した	633	multi	2
16	なんだ	537	multi	3
17	なん	519	multi	2
18	もう	518	multi	2
19	じゃない	504	multi	4
20	です	502	multi	2
21	そんな	466	multi	3
22	それ	464	multi	2
23	あの	454	multi	2
24	その	436	multi	2
25	のか	431	multi	2
26	ちょっと	415	multi	4
27	これ	392	multi	2
28	だから	389	multi	3
29	いた	386	multi	2
30	こと	383	multi	2
31	する	381	multi	2
32	いつ	381	multi	2
33	いや	375	multi	2
34	いて	366	multi	2
35	だった	336	multi	3
36	けど	333	multi	2
37	っと	331	multi	2
38	また	327	multi	2
39	かった	321	multi	3
40	ちゃ	318	multi	2
41	ってる	315	multi	3
42	んな	312	multi	2
43	さい	306	multi	2
44	には	294	multi	2
45	かな	294	multi	2
46	しい	292	multi	2
47	ここ	290	multi	2
48	こんな	286	multi	3
49	だって	284	multi	3
50	なの	274	multi	2
51	なんて	271	multi	3
52	まだ	270	multi	2
53	あれ	265	multi	2
54	なら	257	multi	2
55	んで	247	multi	2
56	っち	245	multi	2
57	どこ	244	multi	2
58	あなた	242	multi	3
59	よう	241	multi	2
60	なかった	238	multi	4
61	もの	231	multi	2
62	たい	229	multi	2
63	やって	229	multi	3
64	だけ	227	multi	2
65	なんか	226	multi	3
66	んです	224	multi	3
67	いる	223	multi	2
68	ですか	221	multi	3
69	まで	220	multi	2
70	しか	220	multi	2
71	くん	219	multi	2
72	では	216	multi	2
73	さま	214	multi	2
74	こう	211	multi	2
75	にも	208	multi	2
76	っちゃ	207	multi	3
77	丈夫	206	multi	2
78	めて	201	multi	2
79	のは	200	multi	2
80	好き	199	multi	2
81	よく	193	multi	2
82	ます	192	multi	2
83	のに	192	multi	2
