# cold Qwen pieces of dialogue_2_10.tsv (--phrase_norm 1) against step1_0920's inventory, 2026-09-20
# rank	piece	lines	class	glyphs	greedy_rank (completes-most-lines order, first 150)
1	って	1716	hira	2	2
2	じゃ	1259	hira	2	6
3	んだ	1231	hira	2	18
4	ない	1163	hira	2	11
5	いい	1072	hira	2	3
6	から	1048	hira	2	28
7	さん	983	hira	2	4
8	った	892	hira	2	5
9	でも	739	hira	2	12
10	ちゃん	738	hira	3	1
11	して	707	hira	2	32
12	この	686	hira	2	19
13	どう	665	hira	2	30
14	そう	639	hira	2	8
15	した	628	hira	2	31
16	なんだ	513	hira	3	7
17	もう	512	hira	2	13
18	なん	507	hira	2	26
19	じゃない	504	hira	4	43
20	です	499	hira	2	35
21	そんな	462	hira	3	24
22	それ	457	hira	2	23
23	あの	452	hira	2	10
24	その	434	hira	2	50
25	のか	429	hira	2	57
26	ちょっと	410	hira	4	14
27	だから	389	hira	3	49
28	こと	382	hira	2	66
29	これ	378	hira	2	22
30	する	375	hira	2	70
31	いつ	374	hira	2	17
32	いた	373	hira	2	16
33	いや	360	hira	2	9
34	いて	355	hira	2	36
35	だった	334	hira	3	58
36	けど	329	hira	2	83
37	っと	325	hira	2	21
38	また	319	hira	2	37
39	かった	314	hira	3	15
40	ってる	312	hira	3	54
41	んな	310	hira	2	33
42	さい	305	hira	2	34
43	ちゃ	303	hira	2	25
44	には	293	hira	2	143
45	かな	293	hira	2	29
46	しい	291	hira	2	40
47	こんな	284	hira	3	92
48	ここ	284	hira	2	39
49	だって	281	hira	3	48
50	なの	271	hira	2	44
51	まだ	270	hira	2	65
52	なんて	269	hira	3	86
53	あれ	259	hira	2	20
54	なら	257	hira	2	84
55	んで	247	hira	2	91
56	あなた	242	hira	3	64
57	よう	240	hira	2	85
58	なかった	238	hira	4	113
59	どこ	237	hira	2	47
60	っち	237	hira	2	27
61	もの	229	hira	2	121
62	たい	228	hira	2	124
63	だけ	227	hira	2	118
64	やって	227	hira	3	46
65	なんか	226	hira	3	69
66	死	224	kanji1	1	59
67	んです	223	hira	3	71
68	いる	221	hira	2	80
69	まで	220	hira	2	126
70	しか	219	hira	2	73
71	ですか	219	hira	3	52
72	では	215	hira	2	147
73	くん	215	hira	2	
74	こう	211	hira	2	101
75	さま	211	hira	2	75
