artist	n_qual	red_median	red_min	red_max	red_iqr
coro_fae	39	0.8723	0.7712	0.9223	0.0387
hamao	8	0.8680	0.7230	0.9135	0.1258
sweetonedollar	26	0.8324	0.7519	0.8907	0.0593
takaman_(gaffe)	32	0.8211	0.7400	0.8843	0.0556
butterchalk	3	0.8198	0.8152	0.8593	nan
asou_(asabu202)	52	0.8143	0.7402	0.9222	0.0456
camonome	3	0.8095	0.7978	0.8516	nan
ebifurya	10	0.8057	0.7197	0.8674	0.0877
dorontabi	3	0.7995	0.6928	0.8372	nan
yamamoto_souichirou	39	0.7984	0.6404	0.8943	0.0470
moursho	17	0.7940	0.7093	0.8919	0.1113
gin00	18	0.7926	0.7145	0.8601	0.0656
ama_mitsuki	93	0.7912	0.6467	0.8791	0.0536
fizz_(pixiv34498626)	61	0.7876	0.6586	0.8460	0.0650
madana_(xesa7885)	11	0.7869	0.7105	0.8266	0.0548
pepper0	51	0.7863	0.6606	0.8743	0.0564
waligner	17	0.7835	0.6133	0.8746	0.0786
kimoshi	9	0.7792	0.7670	0.8476	0.0542
deyui	37	0.7787	0.6529	0.8960	0.0753
audirenze	10	0.7786	0.7358	0.8622	0.0682
esearu	16	0.7747	0.7047	0.9096	0.0438
sincos	351	0.7733	0.6044	0.9075	0.0871
kukiyuusha	7	0.7731	0.6825	0.8077	0.0712
anska	24	0.7711	0.6101	0.8615	0.0833
shamonabe	16	0.7703	0.5928	0.8559	0.1656
akipeko	50	0.7698	0.6477	0.8862	0.0684
otokakoto	66	0.7694	0.5108	0.8787	0.0655
oldsickkim	41	0.7683	0.6123	0.8423	0.0822
sushispin	66	0.7657	0.5929	0.8532	0.0967
simao_(x_x36131422)	12	0.7647	0.6573	0.8355	0.0788
mignon	72	0.7637	0.5931	0.9046	0.0847
eight_tohyama	16	0.7632	0.5164	0.8523	0.0789
sumiyao_(amam)	53	0.7619	0.6825	0.8492	0.0546
aak	32	0.7604	0.6609	0.8629	0.0638
kawakami_rokkaku	31	0.7602	0.6347	0.8567	0.0888
egami	24	0.7592	0.6538	0.8685	0.0966
mikozin	70	0.7583	0.6512	0.8585	0.0477
yomu_(sgt_epper)	10	0.7540	0.6679	0.8681	0.0783
suujiniku	109	0.7523	0.6097	0.8741	0.0485
jumonji	53	0.7515	0.5831	0.8294	0.0879
manglifer	21	0.7462	0.6706	0.8719	0.0709
greatodoggo	38	0.7452	0.6251	0.8340	0.0608
rurudo	4	0.7449	0.6662	0.8449	0.1571
kase_daiki	47	0.7446	0.6362	0.8417	0.0785
ramanda	37	0.7442	0.6046	0.8653	0.0852
topu	11	0.7434	0.6440	0.8329	0.0750
kumasteam	16	0.7427	0.6324	0.8189	0.0683
wakamatsu372	19	0.7400	0.6808	0.8385	0.0868
apollo_(hu_maple)	16	0.7382	0.6591	0.8331	0.0670
sonao	18	0.7373	0.6993	0.8552	0.0637
homunculus_(alchemynote)	13	0.7322	0.6647	0.8415	0.0755
abmayo	36	0.7317	0.6247	0.9081	0.0456
smewed	7	0.7305	0.6919	0.8235	0.0566
songchuan_li	14	0.7285	0.5549	0.8370	0.0742
horosuke	6	0.7265	0.6874	0.7775	0.0710
chen_bin	5	0.7259	0.6421	0.7765	0.0819
satetsu	2	0.7251	0.7195	0.7308	nan
channel_(caststation)	30	0.7247	0.6245	0.8007	0.0554
eufoniuz	5	0.7233	0.6489	0.7742	0.0833
wagashi_(dagashiya)	35	0.7230	0.6294	0.8192	0.0765
gao_(gaolukchup)	4	0.7226	0.6584	0.7483	0.0753
wantan_meo	30	0.7216	0.6196	0.8592	0.0933
hayate_(leaf98k)	11	0.7191	0.6711	0.7689	0.0646
ame_(uten_cancel)	80	0.7168	0.5402	0.8553	0.1123
koh_(minagi_kou)	30	0.7167	0.6201	0.7635	0.0424
yaegashi_nan	17	0.7138	0.6040	0.8645	0.1172
haku89	19	0.7121	0.6251	0.9286	0.1071
pochi_(pochi-goya)	12	0.7088	0.6058	0.8511	0.1318
ootomo_takuji	51	0.7087	0.5449	0.8811	0.1409
ru_zhai	78	0.7067	0.5280	0.8026	0.0663
tottotonero	42	0.7037	0.6109	0.8004	0.0832
chicke_iii	4	0.6942	0.5784	0.7802	0.1632
karory	43	0.6910	0.5842	0.8033	0.0762
yomiji292	10	0.6909	0.6343	0.7807	0.0585
dikko	15	0.6890	0.6156	0.7764	0.0631
nvl	10	0.6872	0.5904	0.7447	0.0961
kat_(bu-kunn)	97	0.6763	0.5314	0.8373	0.0877
patricia_(stylish_marunage)	2	0.6743	0.6601	0.6884	nan
belko	26	0.6671	0.4896	0.8003	0.0645
b-ginga	30	0.6640	0.5836	0.7149	0.0482
ie_(raarami)	40	0.6584	0.5470	0.7632	0.0911
hews	121	0.6540	0.5640	0.7910	0.0675
ningen_mame	91	0.6139	0.5056	0.7796	0.0622
